
PRIOR ITERATIONS FINDINGS (avoid duplicate flags — these are already covered):

--- iteration-001.md ---
| L-001-001 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings.ts:769 | "case 'hf-local': default: return providerInfo.config.HF_EMBEDDINGS_MODEL \|\| DEFAULT_MODEL_NAME;" | confirmed-residue | Add an explicit `llama-cpp` branch in `detectConfiguredModelName()` returning `LLAMA_CPP_EMBEDDINGS_MODEL` or `unsloth/embeddinggemma-300m-GGUF`, so pre-initialization `MODEL_NAME` matches the canonical auto-selected local provider. |
| L-001-002 | P2 | correctness | .opencode/skills/system-spec-kit/shared/embeddings.ts:765 | "(process.env.VOYAGE_API_KEY ? 'voyage-4' : DEFAULT_MODEL_NAME);" | confirmed-residue | Make cloud provider model defaults provider-native regardless of key presence: `voyage` should default to `voyage-4` and `openai` to `text-embedding-3-small`; API-key validity should stay separate from model identity. |
| L-001-003 | P2 | correctness | .opencode/skills/system-spec-kit/scripts/tests/test-embeddings-behavioral.js:242 | "assertEqual(emb.MODEL_NAME, 'onnx-community/embeddinggemma-300m-ONNX', 'EB-003: MODEL_NAME is EmbeddingGemma default');" | confirmed-residue | Update this behavioral assertion to cover the canonical auto cascade: expect llama-cpp when the GGUF runtime is available, otherwise hf-local, and add a pre-init llama-cpp assertion to prevent L-001-001 from recurring. |

--- iteration-002.md ---
| L-002-001 | P1 | traceability | PUBLIC_RELEASE.md:25 | "context-index.sqlite" | confirmed-residue | Replace the singleton example with a provider-keyed placeholder such as `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite` or a concrete llama-cpp default example. |
| L-002-002 | P1 | traceability | .opencode/skills/system-spec-kit/shared/README.md:207 | "│       └── speckit_memory.db   # Active shared SQLite database file" | confirmed-residue | Update the package tree to show generated provider-keyed `context-index__*.sqlite` files or omit active DB filenames entirely. |
| L-002-003 | P1 | traceability | .opencode/skills/system-spec-kit/shared/README.md:364 | "└── speckit_memory.db # Active shared SQLite database file" | confirmed-residue | Align the Per-Profile Databases section with `resolveActiveProfileDbPath` and the profile-keyed `context-index__...` naming contract. |
| L-002-004 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:23 | "| Voyage Provider | `shared/embeddings/providers/voyage.ts` | Primary embedding provider |" | confirmed-residue | Rework the architecture table to include `llama-cpp` and `hf-local`, and describe Voyage/OpenAI as cloud cascade entries rather than the only primary/secondary providers. |
| L-002-005 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:62 | "│ 3. LOCAL CACHE (Last Resort)                                      │" | confirmed-residue | Replace the fallback-order diagram with the canonical auto cascade: Voyage -> OpenAI -> llama-cpp -> hf-local, with keyword/cache degradation documented separately. |
| L-002-006 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:98 | "envKey: 'LLAMA_CPP_EMBEDDINGS_MODEL'," | confirmed-residue | Clarify that llama-cpp auto-selects when the GGUF runtime/model probe succeeds; `LLAMA_CPP_EMBEDDINGS_MODEL` is a model override, not an opt-in selector. |
| L-002-007 | P2 | traceability | .opencode/install_guides/README.md:567 | "Spec Kit Memory now supports three embedding backends:" | confirmed-residue | Fix the stale count to match the documented table and canonical provider set: llama-cpp, hf-local, Voyage, and OpenAI under `auto`. |

--- iteration-003.md ---
| L-003-001 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings/profile.ts:211 | "return null;" | confirmed-residue | `resolveActiveProfileDtype()` returns no dtype for Voyage/OpenAI, so cloud profile DB filenames omit the dtype segment. Define a canonical cloud dtype/precision slug or otherwise make cloud profiles satisfy the provider/model/dim/dtype filename contract. |
| L-003-002 | P1 | maintainability | .opencode/skills/system-spec-kit/mcp_server/tests/embeddings.vitest.ts:250 | "expect(profile.getDatabasePath('/tmp/spec-kit-db')).toBe('/tmp/spec-kit-db/context-index__voyage__voyage-4__1024.sqlite');" | confirmed-residue | Update this profile-path assertion to the canonical dtype-inclusive cloud filename shape after fixing `resolveActiveProfileDtype()`. |
| L-003-003 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:116 | "cloud profiles use `context-index__voyage__voyage-4__1024.sqlite` and `context-index__openai__text-embedding-3-small__1536.sqlite`." | confirmed-residue | Replace the cloud filename examples with dtype-inclusive profile-keyed examples, or use the generic `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite` placeholder. |
| L-003-004 | P2 | maintainability | .opencode/skills/system-spec-kit/manual_testing_playbook/23--doctor-commands/326-doctor-memory-sigint-cancellation.md:46 | "context-index__voyage__voyage-4__1024.sqlite" | confirmed-residue | Refresh the manual playbook's Voyage checksum example to the canonical profile-keyed filename pattern so operators do not copy the stale no-dtype shape. |
| L-003-005 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/evals/run-bm25-baseline.ts:10 | "// Live production context-index.sqlite and record results in the" | confirmed-residue | Update the comment to say the script uses `resolveActiveProfileDbPath()` and the active profile-keyed sqlite file, not the old singleton database. |
| L-003-006 | P2 | maintainability | .opencode/skills/system-spec-kit/mcp_server/lib/eval/ground-truth-generator.ts:100 | "* IDs were mapped from the production context-index.sqlite DB via" | confirmed-residue | Reword the provenance comment to reference the active profile DB or the historical source DB explicitly, avoiding a current singleton-path implication. |
| L-003-007 | P2 | maintainability | .opencode/skills/system-spec-kit/shared/chunking.ts:18 | "* Based on nomic-embed-text-v1.5 context window (~8192 tokens)." | confirmed-residue | Replace the Nomic-era rationale with provider-neutral wording, or tie the limit to the current shared chunking contract rather than an obsolete default model. |
| L-003-008 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/tests/test-folder-detector-functional.js:22 | "const REAL_DB_PATH = path.join(SKILL_ROOT, 'mcp_server/database/context-index.sqlite');" | confirmed-residue | Update this non-temp functional test to resolve the active profile DB path instead of asserting the old singleton runtime database location. |
| L-003-009 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/tests/fixtures/manual-playbook-fixture.js:380 | "'MEMORY_DB_PATH points directly to context-index.sqlite for disposable fixtures.'," | confirmed-residue | Regenerate or patch the committed JS fixture to match the TypeScript source's provider-keyed fixture wording. |
