005-code-graph	003-code-graph-context-and-scan-scope	002-code-graph-context-and-scan-scope
005-code-graph	004-code-graph-hook-improvements	003-code-graph-hook-improvements
005-code-graph	005-code-graph-advisor-refinement	004-code-graph-advisor-refinement
005-code-graph	006-code-graph-doctor-command	005-code-graph-doctor-command
005-code-graph	005-code-graph-resilience-research	006-code-graph-resilience-research
005-code-graph	008-code-graph-backend-resilience	005-code-graph-backend-resilience
005-code-graph	009-end-user-scope-default	008-end-user-scope-default
005-code-graph	010-fix-iteration-quality-meta-research	009-fix-iteration-quality-meta-research
005-code-graph	011-broader-scope-excludes-and-granular-skills	010-broader-scope-excludes-and-granular-skills
005-code-graph	012-real-world-usefulness-test	011-real-world-usefulness-test
005-code-graph	013-doctor-apply-mode-phase-b	012-doctor-apply-mode-phase-b
005-code-graph	014-system-code-graph-extraction	013-system-code-graph-extraction
005-code-graph	015-design-and-decision-record	014-design-and-decision-record
005-code-graph	021-mcp-topology-pivot	015-mcp-topology-pivot
005-code-graph	027-readmes-update	016-readmes-update
005-code-graph	035-code-folder-readmes	017-code-folder-readmes
005-code-graph	040-three-way-isolation-finalize	018-three-way-isolation-finalize
010-doctor-update-orchestrator	003-rm8-013-remediation-doc-honesty-security	002-rm8-013-remediation-doc-honesty-security
010-doctor-update-orchestrator	004-router-phase	003-router-phase
010-doctor-update-orchestrator	005-cutover-phase	004-cutover-phase
