label,backend,ep,ml_compute_units,model_format,static_shapes,batch_size,iteration,latency_ms,per_item_latency_ms
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,0,1871.8057500009309,1871.8057500009309
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,1,297.7001250037574,297.7001250037574
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,2,269.99395799794,269.99395799794
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,3,264.80749999609543,264.80749999609543
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,4,362.25704200478503,362.25704200478503
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,5,308.645584002079,308.645584002079
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,6,253.89425000321353,253.89425000321353
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,7,225.2538749962696,225.2538749962696
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,8,295.45349999534665,295.45349999534665
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,9,242.56920799962245,242.56920799962245
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,10,283.0375829944387,283.0375829944387
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,11,294.96520799875725,294.96520799875725
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,12,245.87004199565854,245.87004199565854
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,13,262.7253329992527,262.7253329992527
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,14,225.8896659986931,225.8896659986931
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,15,218.16666599625023,218.16666599625023
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,16,303.68087500391994,303.68087500391994
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,17,239.91554199892562,239.91554199892562
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,18,247.51145899790572,247.51145899790572
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,19,239.37037500581937,239.37037500581937
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,20,248.46175000129733,248.46175000129733
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,21,122.95879200246418,122.95879200246418
profile-CPUAndNeuralEngine,onnx,CoreMLExecutionProvider,CPUAndNeuralEngine,MLProgram,0,1,22,245.70616600249195,245.70616600249195
