label,backend,ep,ml_compute_units,model_format,static_shapes,batch_size,iteration,latency_ms,per_item_latency_ms
tokenizer-use_fast-True,tokenizer,,,,,1,0,0.6642500011366792,0.6642500011366792
tokenizer-use_fast-True,tokenizer,,,,,1,1,0.2655000062077306,0.2655000062077306
tokenizer-use_fast-True,tokenizer,,,,,1,2,0.2887090013246052,0.2887090013246052
tokenizer-use_fast-True,tokenizer,,,,,1,3,0.25587499840185046,0.25587499840185046
tokenizer-use_fast-True,tokenizer,,,,,1,4,0.2596670019556768,0.2596670019556768
tokenizer-use_fast-True,tokenizer,,,,,1,5,0.22575000184588134,0.22575000184588134
tokenizer-use_fast-True,tokenizer,,,,,1,6,0.2161250013159588,0.2161250013159588
tokenizer-use_fast-True,tokenizer,,,,,1,7,0.265041999227833,0.265041999227833
tokenizer-use_fast-True,tokenizer,,,,,1,8,0.23720799799775705,0.23720799799775705
tokenizer-use_fast-True,tokenizer,,,,,1,9,0.21012499928474426,0.21012499928474426
tokenizer-use_fast-True,tokenizer,,,,,1,10,0.21179200120968744,0.21179200120968744
tokenizer-use_fast-True,tokenizer,,,,,1,11,0.24183400091715157,0.24183400091715157
tokenizer-use_fast-True,tokenizer,,,,,1,12,0.22316700051305816,0.22316700051305816
tokenizer-use_fast-True,tokenizer,,,,,1,13,0.22149999858811498,0.22149999858811498
tokenizer-use_fast-True,tokenizer,,,,,1,14,0.21329199807951227,0.21329199807951227
tokenizer-use_fast-True,tokenizer,,,,,1,15,0.22937500034458935,0.22937500034458935
tokenizer-use_fast-True,tokenizer,,,,,1,16,0.23870899894973263,0.23870899894973263
tokenizer-use_fast-True,tokenizer,,,,,1,17,0.22724999871570617,0.22724999871570617
tokenizer-use_fast-True,tokenizer,,,,,1,18,0.21508400095626712,0.21508400095626712
tokenizer-use_fast-True,tokenizer,,,,,1,19,0.2283750000060536,0.2283750000060536
tokenizer-use_fast-True,tokenizer,,,,,1,20,0.22870799875818193,0.22870799875818193
tokenizer-use_fast-True,tokenizer,,,,,1,21,0.10620799730531871,0.10620799730531871
tokenizer-use_fast-True,tokenizer,,,,,1,22,0.22158399951877072,0.22158399951877072
tokenizer-use_fast-True,tokenizer,,,,,1,23,0.22449999960372224,0.22449999960372224
tokenizer-use_fast-True,tokenizer,,,,,1,24,0.13187500007916242,0.13187500007916242
tokenizer-use_fast-True,tokenizer,,,,,1,25,0.23283300106413662,0.23283300106413662
tokenizer-use_fast-True,tokenizer,,,,,1,26,0.23716699797660112,0.23716699797660112
tokenizer-use_fast-True,tokenizer,,,,,1,27,0.22587500279769301,0.22587500279769301
