sk-doc	create skill
sk-doc	create parent skill hub
sk-doc	create readme
sk-doc	write install guide
sk-doc	create agent
sk-doc	create command
sk-doc	create feature catalog
sk-doc	create manual testing playbook
sk-doc	promote benchmark folder
sk-doc	create ascii flowchart
sk-doc	create diagram
sk-doc	html svg diagram
sk-doc	create a chart
sk-doc	plot the data
sk-doc	data visualization
sk-doc	standalone html chart
sk-doc	waterfall chart
sk-doc	treemap
sk-doc	heatmap
sk-doc	box plot
sk-doc	histogram
sk-doc	bar chart of
sk-doc	line chart of
sk-doc	scatter plot of
sk-doc	data visualisation
sk-doc	data viz
sk-doc	heat matrix
sk-doc	heat map
sk-doc	candlestick chart
sk-doc	stacked area chart
sk-doc	donut chart
sk-doc	waffle chart
sk-doc	parallel coordinates
sk-doc	chart catalog
sk-doc	which chart type
sk-doc	chart color system
sk-doc	create changelog
sk-doc	retire a repo rule
sk-doc	add a project rule
sk-doc	create repo rule
sk-doc	write a repo rule
sk-doc	repo rule
sk-doc	add a repo rule
sk-doc	create diff report
sk-doc	document before after review
sk-doc	before after document diff
sk-doc	document change report
sk-doc	yaml frontmatter
sk-doc	frontmatter block
sk-doc	frontmatter field
sk-doc	description budget
sk-doc	4-part version
sk-doc	frontmatter versioning
sk-doc	frontmatter validation
sk-doc	validate document
sk-doc	score document quality
sk-doc	optimize documentation
sk-doc	apply human voice
sk-doc	rewrite in human voice
sk-doc	make this sound human
sk-doc	sounds ai-generated
sk-doc	reads like ai wrote it
sk-doc	remove ai tells
sk-doc	human voice rules
sk-doc	voice pass
sk-doc	scaffold a skill
sk-doc	new skill
sk-doc	build a skill
sk-doc	author a skill
sk-doc	new agent
sk-doc	author an agent
sk-doc	new slash command
sk-doc	slash command
sk-doc	parent hub
sk-doc	skill hub
sk-doc	new benchmark
sk-doc	benchmark package
sk-doc	before and after document
sk-doc	document diff
sk-doc	opencode skill
sk-doc	opencode agent
sk-doc	opencode command
sk-doc	scaffold a new skill
sk-doc	create a new skill
sk-doc	sk-doc
sk-doc	documentation hub
sk-doc	create parent skill
sk-doc	install guide
sk-doc	feature catalog
sk-doc	manual testing playbook
sk-doc	create benchmark
sk-doc	ascii flowchart
sk-doc	repo rule router
sk-doc	repo rules
sk-doc	doc quality
sk-doc	validate markdown
sk-doc	dqi score
sk-code	code work
sk-code	code surface detection
sk-code	webflow
sk-code	frontend
sk-code	cdn
sk-code	browser test
sk-code	opencode
sk-code	system code
sk-code	mcp
sk-code	typescript
sk-code	python
sk-code	shell
sk-code	jsonc
sk-code	alignment verifier
sk-code	motion.dev integration
sk-code	motion-dev integration
sk-code	motion_dev references
sk-code	cross-stack animation
sk-code	motion api
sk-code	motion snippets
sk-code	motion decision matrix
sk-code	add set -euo pipefail
sk-code	console.error fallback
